Name,Owner,Repo Link,Stars,Topic
three.js,mrdoob,https://github.com/mrdoob/three.js,96700,3d
react-three-fiber,pmndrs,https://github.com/pmndrs/react-three-fiber,24900,3d
libgdx,libgdx,https://github.com/libgdx/libgdx,22300,3d
Babylon.js,BabylonJS,https://github.com/BabylonJS/Babylon.js,21900,3d
tinyrenderer,ssloy,https://github.com/ssloy/tinyrenderer,18700,3d
3d-game-shaders-for-beginners,lettier,https://github.com/lettier/3d-game-shaders-for-beginners,16600,3d
FreeCAD,FreeCAD,https://github.com/FreeCAD/FreeCAD,16200,3d
aframe,aframevr,https://github.com/aframevr/aframe,15900,3d
cesium,CesiumGS,https://github.com/CesiumGS/cesium,11400,3d
blender,blender,https://github.com/blender/blender,10500,3d
MonoGame,MonoGame,https://github.com/MonoGame/MonoGame,10500,3d
zdog,metafizzy,https://github.com/metafizzy/zdog,10100,3d
Open3D,isl-org,https://github.com/isl-org/Open3D,9900,3d
3D-Machine-Learning,timzhang642,https://github.com/timzhang642/3D-Machine-Learning,9300,3d
SpaceshipGenerator,a1studmuffin,https://github.com/a1studmuffin/SpaceshipGenerator,7500,3d
nerfstudio,nerfstudio-project,https://github.com/nerfstudio-project/nerfstudio,7400,3d
BlenderGIS,domlysz,https://github.com/domlysz/BlenderGIS,7000,3d
Fyrox,FyroxEngine,https://github.com/FyroxEngine/Fyrox,6900,3d
model-viewer,google,https://github.com/google/model-viewer,6200,3d
openscad,openscad,https://github.com/openscad/openscad,6200,3d
Blog,ljianshu,https://github.com/ljianshu/Blog,7800,ajax
infinite-scroll,metafizzy,https://github.com/metafizzy/infinite-scroll,7400,ajax
tabulator,olifolkerd,https://github.com/olifolkerd/tabulator,5900,ajax
unfetch,developit,https://github.com/developit/unfetch,5700,ajax
form,jquery-form,https://github.com/jquery-form/form,5200,ajax
elFinder,Studio-42,https://github.com/Studio-42/elFinder,4500,ajax
wretch,elbywan,https://github.com/elbywan/wretch,4300,ajax
learn-to-send-email-via-google-script-html-no-server,dwyl,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3000,ajax
reqwest,ded,https://github.com/ded/reqwest,2900,ajax
ajax-hook,wendux,https://github.com/wendux/ajax-hook,2500,ajax
bliss,LeaVerou,https://github.com/LeaVerou/bliss,2400,ajax
featherlight,noelboss,https://github.com/noelboss/featherlight,2100,ajax
jquery-confirm,craftpip,https://github.com/craftpip/jquery-confirm,1900,ajax
sente,taoensso,https://github.com/taoensso/sente,1700,ajax
tracy,nette,https://github.com/nette/tracy,1700,ajax
tsrpc,k8w,https://github.com/k8w/tsrpc,1700,ajax
css-spinner,loadingio,https://github.com/loadingio/css-spinner,1700,ajax
Enterprise,joaomilho,https://github.com/joaomilho/Enterprise,1600,ajax
eCommerce,codingforentrepreneurs,https://github.com/codingforentrepreneurs/eCommerce,1500,ajax
jeeplatform,u014427391,https://github.com/u014427391/jeeplatform,1400,ajax
coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,275000,algorithm
javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,179000,algorithm
Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,175000,algorithm
CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,170000,algorithm
tech-interview-handbook,yangshun,https://github.com/yangshun/tech-interview-handbook,104000,algorithm
interviews,kdn251,https://github.com/kdn251/interviews,60800,algorithm
hello-algo,krahets,https://github.com/krahets/hello-algo,58200,algorithm
Java,TheAlgorithms,https://github.com/TheAlgorithms/Java,55300,algorithm
leetcode,azl397985856,https://github.com/azl397985856/leetcode,53100,algorithm
algorithm-visualizer,algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,45600,algorithm
leetcode-master,youngyangyang04,https://github.com/youngyangyang04/leetcode-master,44500,algorithm
interview,huihut,https://github.com/huihut/interview,31600,algorithm
LeetCode-Go,halfrost,https://github.com/halfrost/LeetCode-Go,31200,algorithm
JavaScript,TheAlgorithms,https://github.com/TheAlgorithms/JavaScript,30200,algorithm
interactive-coding-challenges,donnemartin,https://github.com/donnemartin/interactive-coding-challenges,28300,algorithm
C-Plus-Plus,TheAlgorithms,https://github.com/TheAlgorithms/C-Plus-Plus,28000,algorithm
JCSprout,crossoverJie,https://github.com/crossoverJie/JCSprout,27000,algorithm
algorithms,keon,https://github.com/keon/algorithms,23300,algorithm
WaveFunctionCollapse,mxgmn,https://github.com/mxgmn/WaveFunctionCollapse,22300,algorithm
homemade-machine-learning,trekhleb,https://github.com/trekhleb/homemade-machine-learning,22200,algorithm
amp,amphp,https://github.com/amphp/amp,4100,amphp
MadelineProto,danog,https://github.com/danog/MadelineProto,2600,amphp
telegram-api,unreal4u,https://github.com/unreal4u/telegram-api,773,amphp
parallel,amphp,https://github.com/amphp/parallel,711,amphp
http-client,amphp,https://github.com/amphp/http-client,680,amphp
byte-stream,amphp,https://github.com/amphp/byte-stream,351,amphp
service-bus,php-service-bus,https://github.com/php-service-bus/service-bus,346,amphp
mysql,amphp,https://github.com/amphp/mysql,333,amphp
parallel-functions,amphp,https://github.com/amphp/parallel-functions,263,amphp
process,amphp,https://github.com/amphp/process,222,amphp
socket,amphp,https://github.com/amphp/socket,204,amphp
TelegramRSS,xtrime-ru,https://github.com/xtrime-ru/TelegramRSS,203,amphp
sync,amphp,https://github.com/amphp/sync,150,amphp
redis,amphp,https://github.com/amphp/redis,145,amphp
dns,amphp,https://github.com/amphp/dns,143,amphp
websocket-client,amphp,https://github.com/amphp/websocket-client,128,amphp
acme,kelunik,https://github.com/kelunik/acme,121,amphp
websocket-server,amphp,https://github.com/amphp/websocket-server,108,amphp
serialization,amphp,https://github.com/amphp/serialization,103,amphp
cache,amphp,https://github.com/amphp/cache,92,amphp
flutter,flutter,https://github.com/flutter/flutter,159000,android
react-native,facebook,https://github.com/facebook/react-native,114000,android
free-programming-books-zh_CN,justjavac,https://github.com/justjavac/free-programming-books-zh_CN,107000,android
scrcpy,Genymobile,https://github.com/Genymobile/scrcpy,96500,android
Awesome-Hacking,Hack-with-Github,https://github.com/Hack-with-Github/Awesome-Hacking,73100,android
awesome-flutter,Solido,https://github.com/Solido/awesome-flutter,49800,android
material-design-icons,google,https://github.com/google/material-design-icons,49200,android
awesome-android-ui,wasabeef,https://github.com/wasabeef/awesome-android-ui,48200,android
okhttp,square,https://github.com/square/okhttp,44900,android
architecture-samples,android,https://github.com/android/architecture-samples,43500,android
retrofit,square,https://github.com/square/retrofit,42300,android
joplin,laurent22,https://github.com/laurent22/joplin,40200,android
uni-app,dcloudio,https://github.com/dcloudio/uni-app,39000,android
appwrite,appwrite,https://github.com/appwrite/appwrite,38800,android
fastlane,fastlane,https://github.com/fastlane/fastlane,38300,android
jadx,skylot,https://github.com/skylot/jadx,37700,android
MPAndroidChart,PhilJay,https://github.com/PhilJay/MPAndroidChart,37100,android
lottie-android,airbnb,https://github.com/airbnb/lottie-android,34400,android
shadowsocks-android,shadowsocks,https://github.com/shadowsocks/shadowsocks-android,34400,android
glide,bumptech,https://github.com/bumptech/glide,34100,android
